!,#,&&,(,),=,relop,id,||,E,F,G,S,T
,,,,,,,s_3,,,,2,1,
,acc,,,,,,,,,,,,
,,,,,s_4,,,,,,,,
,,,,,r_10,,,,,,,,
s_9,,,s_8,,,,s_10,,5,7,,,6
,r_1,s_12,,,,,,s_11,,,,,
,r_4,r_4,,r_4,,s_13,,r_4,,,,,
,r_6,r_6,,r_6,,r_6,,r_6,,,,,
s_9,,,s_8,,,,s_10,,14,7,,,6
s_9,,,s_8,,,,s_10,,,15,,,
,r_9,r_9,,r_9,,r_9,,r_9,,,,,
s_9,,,s_8,,,,s_10,,,7,,,16
s_9,,,s_8,,,,s_10,,,7,,,17
s_9,,,s_8,,,,s_10,,,18,,,
,,s_12,,s_19,,,,s_11,,,,,
,r_8,r_8,,r_8,,r_8,,r_8,,,,,
,r_2,r_2,,r_2,,s_13,,r_2,,,,,
,r_3,r_3,,r_3,,s_13,,r_3,,,,,
,r_5,r_5,,r_5,,r_5,,r_5,,,,,
,r_7,r_7,,r_7,,r_7,,r_7,,,,,
